tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
679413,306363,08/25/2016,29,0,OnCurb,Alive,Good,Quercus palustris,pin oak,,,Damage,TreesCount Staff,,No,No,No,No,No,No,No,No,No,70-016 KISSENA BOULEVARD,11367,Flushing,408,4,Queens,24,27,16,QN37,Kew Gardens Hills,4077906,New York,40.73145158,-73.81509454,1035496.514,205818.1944,24.0,77906.0,4540759.0,4066560063.0
677280,344926,08/24/2016,13,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,,,NoDamage,TreesCount Staff,,No,No,No,No,No,No,No,No,No,71-021 72 PLACE,11385,Ridgewood,405,4,Queens,30,38,15,QN19,Glendale,4062300,New York,40.70449226,-73.87819668,1018021.438,195965.4812,30.0,623.0,4089949.0,4036900052.0
115757,409926,08/04/2015,6,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,,,NoDamage,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,123 CARTERET STREET,10307,Staten Island,503,5,Staten Island,51,62,24,SI11,Charleston-Richmond Valley-Tottenville,5024401,New York,40.50570956,-74.24759507,915396.6495,123617.6101,51.0,24401.0,5088241.0,5079130080.0
107796,341265,08/01/2015,15,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,,,NoDamage,Volunteer,BranchLights,No,No,No,No,No,No,Yes,No,No,71-020 32 AVENUE,11370,East Elmhurst,403,4,Queens,25,34,13,QN28,Jackson Heights,4030902,New York,40.75646942,-73.89506689,1013321.288,214896.3199,25.0,30902.0,4026365.0,4011670010.0
62102,230820,07/12/2015,5,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,,Helpful,NoDamage,TreesCount Staff,,No,No,No,No,No,No,No,No,No,435 CONEY ISLAND AVENUE,11218,Brooklyn,314,3,Brooklyn,40,42,21,BK42,Flatbush,3050600,New York,40.64718483,-73.97094862,992311.7716,175064.5997,40.0,506.0,3116298.0,3050700019.0
180968,111392,08/27/2015,3,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,,,NoDamage,Volunteer,,No,No,No,No,No,No,No,No,No,4716 BROADWAY,10040,New York,112,1,Manhattan,10,72,31,MN35,Washington Heights North,1028700,New York,40.86445733,-73.92883643,1003933.616,254230.7455,10.0,287.0,1064222.0,1021750027.0
261718,108724,09/26/2015,9,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,,,NoDamage,Volunteer,,No,No,No,No,No,No,No,No,No,620 WEST 144 STREET,10031,New York,109,1,Manhattan,7,71,31,MN04,Hamilton Heights,1022900,New York,40.82627964,-73.95206756,997515.5709,240316.8078,7.0,229.0,1062364.0,1020907502.0
371867,212204,10/24/2015,5,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,1or2,,NoDamage,Volunteer,"TrunkLights,TrunkOther",No,No,No,No,Yes,Yes,No,No,No,86 BELL POINT DRIVE,11234,Brooklyn,318,3,Brooklyn,46,59,19,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3069800,New York,40.61070704,-73.91533819,1007756.536,161784.7916,46.0,698.0,3392337.0,3084702039.0
161780,217419,08/20/2015,7,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,,,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,175 LEONARD STREET,11206,Brooklyn,301,3,Brooklyn,34,53,18,BK90,East Williamsburg,3051100,New York,40.70958601,-73.94702149,998937.8128,197802.2518,34.0,511.0,3070816.0,3030230026.0
293657,224335,10/07/2015,12,0,OnCurb,Alive,Good,Acer saccharum,sugar maple,,,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,68 CHEEVER PLACE,11231,Brooklyn,306,3,Brooklyn,39,52,26,BK33,Carroll Gardens-Columbia Street-Red Hook,3004900,New York,40.68512669,-74.00002783,984242.2825,188886.556,39.0,49.0,3003727.0,3003210073.0
69954,230408,07/15/2015,5,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,,,NoDamage,TreesCount Staff,,No,No,No,No,No,No,No,No,No,955 CONEY ISLAND AVENUE,11230,Brooklyn,314,3,Brooklyn,40,44,17,BK42,Flatbush,3052600,New York,40.63422849,-73.9672029,993352.9795,170344.6206,40.0,526.0,3120095.0,3051977501.0
38305,349110,06/28/2015,2,0,OnCurb,Alive,Good,Quercus imbricaria,shingle oak,1or2,Helpful,NoDamage,Volunteer,,No,No,No,No,No,No,No,No,No,86-016 ELIOT AVENUE,11374,Rego Park,406,4,Queens,29,28,15,QN18,Rego Park,4068700,New York,40.73008862,-73.8701977,1020225.433,205294.1931,29.0,687.0,4072248.0,4030900006.0
539742,326198,12/29/2015,14,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,,,Damage,TreesCount Staff,,No,No,No,No,No,No,No,No,No,114-005 159 STREET,11434,Jamaica,412,4,Queens,28,32,10,QN76,Baisley Park,4027600,New York,40.68822074,-73.78819395,1042990.077,190084.8236,28.0,276.0,4448372.0,4121960063.0
213161,107012,09/10/2015,4,0,OffsetFromCurb,Alive,Fair,Crataegus,hawthorn,1or2,,NoDamage,TreesCount Staff,,No,No,No,No,No,No,No,No,No,2319 BROADWAY,10024,New York,107,1,Manhattan,6,67,31,MN12,Upper West Side,1017100,New York,40.78718916,-73.97751568,990476.3182,226071.9305,6.0,171.0,1033104.0,1012327501.0
137322,230289,08/12/2015,9,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,,,NoDamage,TreesCount Staff,,No,No,No,No,No,No,No,No,No,679 OCEAN PARKWAY,11230,Brooklyn,314,3,Brooklyn,40,44,17,BK42,Flatbush,3048200,New York,40.63187933,-73.97169775,992105.6893,169488.3248,40.0,482.0,3127827.0,3054210001.0
638470,307551,07/22/2016,15,0,OnCurb,Alive,Good,Acer platanoides,Norway maple,,,NoDamage,TreesCount Staff,,No,No,No,No,No,No,No,No,No,201-036 EPSOM COURSE,11427,Queens Village,408,4,Queens,23,24,14,QN06,Jamaica Estates-Holliswood,4049200,New York,40.72555462,-73.76383905,1049707.724,203703.8974,23.0,492.0,4226076.0,4105990060.0
108886,219875,08/01/2015,8,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,,NoDamage,Volunteer,,No,No,No,No,No,No,No,No,No,80 POPLAR STREET,11201,Brooklyn,302,3,Brooklyn,33,52,26,BK09,Brooklyn Heights-Cobble Hill,3000100,New York,40.70072054,-73.99174101,986540.0354,194567.9597,33.0,1.0,3326012.0,3002110021.0
257660,204141,09/25/2015,34,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,,,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,471 79 STREET,11209,Brooklyn,310,3,Brooklyn,43,64,22,BK31,Bay Ridge,3013600,New York,40.62688644,-74.02439034,977479.609,167668.9561,43.0,136.0,3150373.0,3059700056.0
399932,501084,10/29/2015,0,8,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,415 WALTON AVENUE,10451,Bronx,201,2,Bronx,17,84,29,BX63,West Concourse,2006300,New York,40.81691759,-73.92887192,1003937.863,236910.2365,17.0,63.0,2001087.0,2023500016.0
42578,225431,06/30/2015,23,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,,,NoDamage,Volunteer,"RootOther,BranchOther",No,No,Yes,No,No,No,No,No,Yes,1661 11 AVENUE,11215,Brooklyn,307,3,Brooklyn,39,44,21,BK40,Windsor Terrace,3017100,New York,40.65650823,-73.97708486,990608.0732,178460.8689,39.0,171.0,3121781.0,3052560006.0
